 ,WEEK,WEIGHT,STATE,ETRO,REGION,DIVISION,OWNHOME,MARITAL,EMPLOY,HHNUM,ADULTS,KIDS1217,KIDS611,KIDS06,PARENT,AGE,AGE2,EDUC2,EDUC,INCOME,RACE,PARTYROT,PARTY,IDEOROT,IDEO,REGIST,C3A,SEX,IDENT,L1,C1,C1A,USBORN,USLIVE,RELIG,RELIGOPEN,DENOM,DENOMOPEN,BORN,JEWID,SECULAR,JDENOM,YEAR,DEMH1,DEMNHV,DATE,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6,Q7,Q8,I_EMPLOY,I_MARITAL,I_RACE
90000242,849,0.8339,VA,,3,5,2,1,5,1,1,,,,2,26,,8,5,1,1,1,2,2,3,1,,1,2,,2,1,,,2,,,,,,,,16,1,2,161208,1,2,1,2,1,0,0,0,0,0,0,0,1,2,9,5,1,1
90000244,849,1.1992,CA,4,4,9,2,2,6,4,2,0,1,1,1,37,,4,3,2,5,2,3,1,5,2,,2,4,,2,1,3,13,2,,,,,,,,16,1,3,161208,2,1,2,1,0,1,0,0,0,0,0,0,2,2,2,6,2,3
90000245,849,1.1393,CT,2,1,1,1,1,1,1,1,,,,2,36,,6,4,6,2,1,0,1,8,1,,1,2,,2,1,,,22,,13,,1,,,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,3,3,2,1,1,2
90000246,849,0.8854,MA,3,1,1,2,6,2,1,1,,,,2,62,,3,2,1,1,2,3,1,2,2,,1,2,,2,5,,,13,,,,2,,,,16,1,2,161208,4,3,2,2,0,0,0,0,0,0,1,0,,1,1,2,4,1
90000247,849,2.1372,SC,2,3,5,1,3,1,2,2,,,,2,59,,3,2,13,1,1,3,2,5,1,,1,2,,2,1,,,97,taoist,,,,,,,16,1,1,161208,1,3,2,2,0,0,0,1,0,0,0,0,,1,2,1,3,1
90000250,849,1.6951,CA,,4,9,2,3,3,4,4,,,,2,85,,2,1,1,4,2,2,1,2,2,,1,4,,2,1,3,19,22,,7,,1,,,,16,1,3,161208,3,2,1,2,0,0,0,0,0,0,1,0,,2,1,3,3,3
90000252,849,1.3937,NY,1,1,2,9,3,1,3,3,,,,2,61,,4,3,6,5,1,1,2,2,1,1,1,2,,1,1,9,99,1,,,,2,,,,16,1,4,161208,1,2,2,2,1,0,0,0,0,0,0,0,3,1,2,1,3,3
90000254,849,1.2941,MO,1,2,4,2,1,2,3,3,,,,2,21,,4,3,5,10,1,1,1,2,1,,1,2,,2,1,,,15,,13,,1,,,,16,1,5,161208,3,2,2,2,1,0,0,0,0,0,0,0,1,1,1,2,1,5
90000257,849,0.5845,FL,5,3,5,1,5,3,3,3,,,,2,75,,8,5,98,1,1,3,2,3,1,,2,2,,2,1,,,15,,1,,1,,,,16,1,3,161208,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,3,5,1
90000259,849,0.4436,MO,1,2,4,1,6,7,1,1,,,,2,55,,2,1,1,1,1,3,2,1,2,1,2,2,,1,4,,,22,,7,,2,,,,16,1,3,161208,2,2,2,2,1,0,0,0,0,0,0,0,1,2,2,6,4,1
90000260,849,0.8607,AL,1,3,6,1,6,1,2,2,,,,2,31,,6,4,12,1,1,1,1,3,1,,1,2,,2,1,,,22,,13,,1,,,,16,1,1,161208,2,1,2,2,1,0,0,0,0,0,0,0,2,2,2,1,4,1
90000261,849,0.6627,MO,2,2,4,1,3,3,2,2,,,,2,85,,4,3,7,1,1,3,1,2,1,1,1,2,,1,2,,,15,,1,,1,,,,16,1,3,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,1,1,3,3,1
90000262,849,0.3367,LA,5,3,7,1,3,1,2,2,,,,2,46,,6,4,12,1,1,1,2,2,1,3,1,2,,1,2,,,15,,7,,1,,,,16,1,2,161208,2,2,2,2,0,0,1,0,0,0,0,0,,3,2,1,3,1
90000263,849,1.2779,CA,3,4,9,1,3,1,5,2,0,1,2,1,52,,8,5,8,1,1,3,2,1,1,,1,2,,2,1,,,13,,,,2,,,,16,1,1,161208,4,2,2,2,1,0,0,0,0,0,0,0,1,1,2,1,3,1
